name,handle,public_date,raw_body,body_text,summary_text,sources,industry_ids,,,
boyd tinsley,@bt_dmb,17-May-18,"<div class=""info-body"">
<p>Publicly reported
              May 17, 2018</p>
<p>A man has sued Tinsley, saying Tinsley subjected him to unwanted touching and masturbated in front of him, among other unwanted behavior, while they were bandmates in Crystal Garden. Tinsley has been fired from the Dave Matthews Band.</p>
</div>","Publicly reported.        May 17, 2018. A man has sued Tinsley, saying Tinsley subjected him to unwanted touching and masturbated in front of him, among other unwanted behavior, while they were bandmates in Crystal Garden. Tinsley has been fired from the Dave Matthews Band.","A man has sued Tinsley, saying Tinsley subjected him to unwanted touching and masturbated in front of him, among other unwanted behavior, while they were bandmates in Crystal Garden. Tinsley has been fired from the Dave Matthews Band","['https://consequenceofsound.net/2018/05/boyd-tinsely-dave-matthews-band-split/', 'https://consequenceofsound.net/2018/05/boyd-tinsley-misconduct-allegations/']",arts-entertainment,,,
ameer vann,@AmeerVann,11-May-18,"<div class=""info-body"">
<p>Publicly reported
              May 11, 2018</p>
<p>Two women have said he was verbally abusive or emotionally manipulative to them in relationships, and others have made secondhand allegations that he had sex with underage girls. He has since left Brockhampton and the group has issued an apology.</p>
</div>","Publicly reported.        May 11, 2018. Two women have said he was verbally abusive or emotionally manipulative to them in relationships, and others have made secondhand allegations that he had sex with underage girls. He has since left Brockhampton and the group has issued an apology.","Two women have said he was verbally abusive or emotionally manipulative to them in relationships, and others have made secondhand allegations that he had sex with underage girls. He has since left Brockhampton and the group has issued an apology","['https://twitter.com/GIGlNOTHADID/status/995009697768914944', 'https://themuse.jezebel.com/boy-band-brockhampton-removes-ameer-vann-after-sexual-m-1826383989', 'https://pitchfork.com/news/brockhampton-kick-out-ameer-vann-over-sexual-misconduct-allegations/', 'https://www.thefader.com/2018/05/14/ameer-vann-abuse-allegations']",arts-entertainment,,,
allison mack,@allisonmack,24-Apr-18,"<div class=""info-body"">
<p>Publicly reported
              April 24, 2018</p>
<p>She has been charged with sex trafficking in connection with allegations that she recruited women to become “slaves” in the group Nxivm.</p>
</div>","Publicly reported.        April 24, 2018. She has been charged with sex trafficking in connection with allegations that she recruited women to become “slaves” in the group Nxivm.",She has been charged with sex trafficking in connection with allegations that she recruited women to become “slaves” in the group Nxivm,"['https://www.thecut.com/2018/04/smallville-allison-mack-sex-cult-nxivm-everything-to-know.html', 'https://www.nbcnews.com/news/us-news/smallville-actress-allison-mack-freed-parents-5-million-bail-n868701']",arts-entertainment,,,
nicholas nixon,@nickbynorthwest,4-Apr-18,"<div class=""info-body"">
<p>Publicly reported
              April  4, 2018</p>
<p>Multiple former students have said that Nixon made inappropriate comments, sent them inappropriate emails, or asked them to pose nude. He has retired from MassArt and is the subject of a Title IX investigation.</p>
</div>","Publicly reported.        April 4, 2018. Multiple former students have said that Nixon made inappropriate comments, sent them inappropriate emails, or asked them to pose nude. He has retired from MassArt and is the subject of a Title IX investigation.","Multiple former students have said that Nixon made inappropriate comments, sent them inappropriate emails, or asked them to pose nude. He has retired from MassArt and is the subject of a Title IX investigation","['https://www.bostonglobe.com/metro/2018/04/04/sex-power-and-photography-massart-classroom-how-far-too-far/9O4Yyd0CBlGSiW33Tb8tcI/story.html', 'https://massart.edu/sites/default/files/TitleIXCampusClimateUpdate.pdf']",arts-entertainment,,,
john kricfalusi,@JohnKricfalusi,29-Mar-18,"<div class=""info-body"">
<p>Publicly reported
              March 29, 2018</p>
<p>One woman has said Kricfalusi sexually abused her when she was a minor, while another says he subjected her to sexually inappropriate behavior when she was a minor and later sexually harassed her. Cartoon Network and Adult Swim have said they will not work with him in future.</p>
</div>","Publicly reported.        March 29, 2018. One woman has said Kricfalusi sexually abused her when she was a minor, while another says he subjected her to sexually inappropriate behavior when she was a minor and later sexually harassed her. Cartoon Network and Adult Swim have said they will not work with him in future.","One woman has said Kricfalusi sexually abused her when she was a minor, while another says he subjected her to sexually inappropriate behavior when she was a minor and later sexually harassed her. Cartoon Network and Adult Swim have said they will not work with him in future",['https://www.buzzfeed.com/arianelange/john-kricfalusi-ren-stimpy-underage-sexual-abuse?bftwnews&utm_term=.ffGE92N2A#.whxjWOpO0'],arts-entertainment,,,
sherman alexie,@sherman_alexie,5-Mar-18,"<div class=""info-body"">
<p>Publicly reported
              March  5, 2018</p>
<p>Multiple women have reported that he made inappropriate comments or unwanted advances toward them. He has declined a literary prize and delayed the publication of an upcoming memoir.</p>
</div>","Publicly reported.        March 5, 2018. Multiple women have reported that he made inappropriate comments or unwanted advances toward them. He has declined a literary prize and delayed the publication of an upcoming memoir.",Multiple women have reported that he made inappropriate comments or unwanted advances toward them. He has declined a literary prize and delayed the publication of an upcoming memoir,"['https://www.npr.org/2018/03/05/589909379/it-just-felt-very-wrong-sherman-alexies-accusers-go-on-the-record', 'https://www.npr.org/sections/thetwo-way/2018/03/09/592480180/beset-by-sexual-harassment-claims-sherman-alexie-declines-literary-prize', 'https://www.npr.org/sections/thetwo-way/2018/03/11/592779038/sherman-alexie-postpones-memoirs-paperback-release-amid-sexual-harassment-claims']",arts-entertainment,,,
jeff franklin,@fullhouseguy,28-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 28, 2018</p>
<p>He has been accused of making inappropriate comments about his sex life in the workplace, and giving women he dated bit parts on Fuller House. He has been dropped from the show, and his TV deal with Warner Bros. will not be renewed.</p>
</div>","Publicly reported.        February 28, 2018. He has been accused of making inappropriate comments about his sex life in the workplace, and giving women he dated bit parts on Fuller House. He has been dropped from the show, and his TV deal with Warner Bros. will not be renewed.","He has been accused of making inappropriate comments about his sex life in the workplace, and giving women he dated bit parts on Fuller House. He has been dropped from the show, and his TV deal with Warner Bros. will not be renewed",['http://variety.com/2018/tv/news/jeff-franklin-fuller-house-out-behavior-1202713011/'],arts-entertainment,,,
philip berk,@PhilipBerk,22-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 22, 2018</p>
<p>A man has reported that Berk groped him. The HFPA is investigating the incident.</p>
</div>","Publicly reported.        February 22, 2018. A man has reported that Berk groped him. The HFPA is investigating the incident.",A man has reported that Berk groped him. The HFPA is investigating the incident,"['https://www.gq.com/story/what-ever-happened-to-brendan-fraser', 'https://www.usmagazine.com/celebrity-news/news/hfpa-investigating-brendan-fraser-sexual-assault-claims/']",arts-entertainment,,,
daniel handler,@DanielHandler,21-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 21, 2018</p>
<p>Multiple women say he made inappropriate sexual comments in front of and about them.</p>
</div>","Publicly reported.        February 21, 2018. Multiple women say he made inappropriate sexual comments in front of and about them.",Multiple women say he made inappropriate sexual comments in front of and about them,['https://psmag.com/social-justice/how-will-publishing-deal-with-lemony-snicket-amid-metoo'],arts-entertainment,,,
patrick demarchelier,,16-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 16, 2018</p>
<p>Multiple women have said he made unwanted advances toward them. The magazine publisher Condé Nast has stopped working with him “for the foreseeable future.”</p>
</div>","Publicly reported.        February 16, 2018. Multiple women have said he made unwanted advances toward them. The magazine publisher Condé Nast has stopped working with him “for the foreseeable future.”",Multiple women have said he made unwanted advances toward them. The magazine publisher Condé Nast has stopped working with him “for the foreseeable future.,['https://www.bostonglobe.com/metro/2018/02/16/beauty-and-ugly-truth/c7r0WVsF5cib1pLWXJe9dP/story.html'],arts-entertainment,,,
seth sabal,,16-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 16, 2018</p>
<p>Multiple women have said he sexually harassed them.</p>
</div>","Publicly reported.        February 16, 2018. Multiple women have said he sexually harassed them.",Multiple women have said he sexually harassed them,['https://www.bostonglobe.com/metro/2018/02/16/beauty-and-ugly-truth/c7r0WVsF5cib1pLWXJe9dP/story.html'],arts-entertainment,,,
andre passos,,16-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 16, 2018</p>
<p>A woman has said he inserted his fingers into her vagina during a shoot when she was a teenager.</p>
</div>","Publicly reported.        February 16, 2018. A woman has said he inserted his fingers into her vagina during a shoot when she was a teenager.",A woman has said he inserted his fingers into her vagina during a shoot when she was a teenager,['https://www.bostonglobe.com/metro/2018/02/16/beauty-and-ugly-truth/c7r0WVsF5cib1pLWXJe9dP/story.html'],arts-entertainment,,,
greg kadel,,16-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 16, 2018</p>
<p>Multiple women have said he made unwanted advances when they were teenagers, while another said he pressured her to strip naked. Condé Nast and Victoria’s Secret have stopped working with him.</p>
</div>","Publicly reported.        February 16, 2018. Multiple women have said he made unwanted advances when they were teenagers, while another said he pressured her to strip naked. Condé Nast and Victoria’s Secret have stopped working with him.","Multiple women have said he made unwanted advances when they were teenagers, while another said he pressured her to strip naked. Condé Nast and Victoria’s Secret have stopped working with him",['https://www.bostonglobe.com/metro/2018/02/16/beauty-and-ugly-truth/c7r0WVsF5cib1pLWXJe9dP/story.html'],arts-entertainment,,,
david bellemere,,16-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 16, 2018</p>
<p>Multiple women have reported that he subjected them to unwanted touching and other inappropriate behavior. Victoria’s Secret has cut ties with him.</p>
</div>","Publicly reported.        February 16, 2018. Multiple women have reported that he subjected them to unwanted touching and other inappropriate behavior. Victoria’s Secret has cut ties with him.",Multiple women have reported that he subjected them to unwanted touching and other inappropriate behavior. Victoria’s Secret has cut ties with him,['https://www.bostonglobe.com/metro/2018/02/16/beauty-and-ugly-truth/c7r0WVsF5cib1pLWXJe9dP/story.html'],arts-entertainment,,,
karl templer,,16-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February 16, 2018</p>
<p>Multiple women have reported that he touched them inappropriately or aggressively during shoots.</p>
</div>","Publicly reported.        February 16, 2018. Multiple women have reported that he touched them inappropriately or aggressively during shoots.",Multiple women have reported that he touched them inappropriately or aggressively during shoots,['https://www.bostonglobe.com/metro/2018/02/16/beauty-and-ugly-truth/c7r0WVsF5cib1pLWXJe9dP/story.html'],arts-entertainment,,,
vincent cirrincione,,2-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February  2, 2018</p>
<p>Multiple women have said he made unwanted advances toward them, and several said he preyed specifically on young women of color. He has shut down his agency.</p>
</div>","Publicly reported.        February 2, 2018. Multiple women have said he made unwanted advances toward them, and several said he preyed specifically on young women of color. He has shut down his agency.","Multiple women have said he made unwanted advances toward them, and several said he preyed specifically on young women of color. He has shut down his agency","['https://www.washingtonpost.com/business/economy/he-helped-halle-berry-and-taraji-henson-to-stardom-now-9-minority-women-are-accusing-him-of-sexual-harassment/2018/02/02/259e8196-f590-11e7-b34a-b85626af34ef_story.html?utm_term=.3c5fd3c7283a', 'https://www.washingtonpost.com/business/economy/hollywood-manager-who-worked-with-halle-berry-taraji-p-henson-will-close-agency-after-accusations-of-sexual-harassment/2018/02/05/557debd0-0ab8-11e8-8b0d-891602206fb7_story.html?utm_term=.48f8a9e3ec1b']",arts-entertainment,,,
paul marciano,,1-Feb-18,"<div class=""info-body"">
<p>Publicly reported
              February  1, 2018</p>
<p>A woman has reported that he repeatedly subjected her to unwanted touching, kissing, and other advances. He has stepped away from daily responsibilities at Guess.</p>
</div>","Publicly reported.        February 1, 2018. A woman has reported that he repeatedly subjected her to unwanted touching, kissing, and other advances. He has stepped away from daily responsibilities at Guess.","A woman has reported that he repeatedly subjected her to unwanted touching, kissing, and other advances. He has stepped away from daily responsibilities at Guess","['https://www.thecut.com/2018/02/kate-upton-accuses-guess-founder-of-harassing-women.html', 'http://time.com/5137456/kate-upton-paul-marciano-interview/', 'https://www.cnbc.com/2018/02/20/guess-co-founder-ousted-following-sexual-harassment-allegations.html']",arts-entertainment,,,
charlie walk,@charliewalk01,29-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 29, 2018</p>
<p>Multiple women have accused him of harassment and inappropriate touching. He has left the Republic Group.</p>
</div>","Publicly reported.        January 29, 2018. Multiple women have accused him of harassment and inappropriate touching. He has left the Republic Group.",Multiple women have accused him of harassment and inappropriate touching. He has left the Republic Group,"['https://www.lifelabhb.com/blog/2018/1/29/metoo-an-open-letter-to-charlie-walk', 'https://www.nytimes.com/2018/02/01/arts/music/music-metoo-charlie-walk-neil-portnow.html', 'https://www.nytimes.com/2018/03/29/arts/music/charlie-walk-sexual-harassment-republic-records.html', 'https://www.refinery29.com/2018/03/193097/tristan-blake-coopersmith-essay-charlie-walk-harassment']",arts-entertainment,,,
scott baio,@ScottBaio,27-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 27, 2018</p>
<p>A woman has reported that Baio sexually abused her when she was a minor, and a man has said Baio sexually harassed him.</p>
</div>","Publicly reported.        January 27, 2018. A woman has reported that Baio sexually abused her when she was a minor, and a man has said Baio sexually harassed him.","A woman has reported that Baio sexually abused her when she was a minor, and a man has said Baio sexually harassed him","['http://variety.com/2018/tv/news/nicole-eggert-scott-baio-sexual-abuse-megyn-kelly-interview-1202681478/', 'https://twitter.com/nicoleeggert/status/957293940624912384', 'http://variety.com/2018/tv/news/scott-baio-accuser-alexander-polinksy-charles-in-charge-1202697933/']",arts-entertainment,,,
david copperfield,@D_Copperfield,25-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 25, 2018</p>
<p>A woman has reported that he drugged and sexually assaulted her when she was 17.</p>
</div>","Publicly reported.        January 25, 2018. A woman has reported that he drugged and sexually assaulted her when she was 17.",A woman has reported that he drugged and sexually assaulted her when she was 17,['https://www.thewrap.com/david-copperfield-accused-drugging-assaulting-17-year-old-model-1988/'],arts-entertainment,,,
barry lubin,,23-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 23, 2018</p>
<p>A woman has reported that he pressured her to pose for pornographic photos when she was 16. He has resigned from the Big Apple Circus.</p>
</div>","Publicly reported.        January 23, 2018. A woman has reported that he pressured her to pose for pornographic photos when she was 16. He has resigned from the Big Apple Circus.",A woman has reported that he pressured her to pose for pornographic photos when she was 16. He has resigned from the Big Apple Circus,['https://www.nytimes.com/2018/01/23/nyregion/big-apple-circus-grandma-clown-resigns.html?smid=tw-nytmetro&smtyp=cur'],arts-entertainment,,,
michael douglas,@KDouglasMichael,18-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 18, 2018</p>
<p>A woman has reported that he sexually harassed her and masturbated in front of her.</p>
</div>","Publicly reported.        January 18, 2018. A woman has reported that he sexually harassed her and masturbated in front of her.",A woman has reported that he sexually harassed her and masturbated in front of her,['https://www.hollywoodreporter.com/features/michael-douglas-alleged-harassment-media-metoo-moment-1075609'],arts-entertainment,,,
joel kramer,,13-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 13, 2018</p>
<p>A woman has reported that he sexually abused her when she was underage, and another says he sexually assaulted her. He has been dropped as a client by Worldwide Production Agency.</p>
</div>","Publicly reported.        January 13, 2018. A woman has reported that he sexually abused her when she was underage, and another says he sexually assaulted her. He has been dropped as a client by Worldwide Production Agency.","A woman has reported that he sexually abused her when she was underage, and another says he sexually assaulted her. He has been dropped as a client by Worldwide Production Agency","['https://www.facebook.com/OfficialElizaDushku/posts/1769957739689557', 'http://deadline.com/2018/01/joel-kramer-sexual-assault-accusations-stunt-women-eliza-dushku-1202243343/', 'http://deadline.com/2018/01/true-lies-stuntman-joel-kramer-dropped-agency-sexual-assault-accusation-eliza-dushku-1202243097/']",arts-entertainment,,,
bruce weber,@Bruce_Weber,13-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 13, 2018</p>
<p>Multiple men have said he pressured them to pose nude or subjected them to unwanted touching.</p>
</div>","Publicly reported.        January 13, 2018. Multiple men have said he pressured them to pose nude or subjected them to unwanted touching.",Multiple men have said he pressured them to pose nude or subjected them to unwanted touching,['https://www.nytimes.com/2018/01/13/style/mario-testino-bruce-weber-harassment.html'],arts-entertainment,,,
mario testino,@mariotestino,13-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 13, 2018</p>
<p>Multiple men have said he groped them or masturbated in front of them, or made unwanted advances.</p>
</div>","Publicly reported.        January 13, 2018. Multiple men have said he groped them or masturbated in front of them, or made unwanted advances.","Multiple men have said he groped them or masturbated in front of them, or made unwanted advances",['https://www.nytimes.com/2018/01/13/style/mario-testino-bruce-weber-harassment.html'],arts-entertainment,,,
aziz ansari,@azizansari,13-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 13, 2018</p>
<p>A woman has said he subjected her to unwanted touching and pressure to have sex during a date.</p>
</div>","Publicly reported.        January 13, 2018. A woman has said he subjected her to unwanted touching and pressure to have sex during a date.",A woman has said he subjected her to unwanted touching and pressure to have sex during a date,['https://babe.net/2018/01/13/aziz-ansari-28355'],arts-entertainment,,,
james franco,@JamesFrancoPrvt,11-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January 11, 2018</p>
<p>Multiple women have reported that he engaged in inappropriate or sexually exploitative behavior with them.</p>
</div>","Publicly reported.        January 11, 2018. Multiple women have reported that he engaged in inappropriate or sexually exploitative behavior with them.",Multiple women have reported that he engaged in inappropriate or sexually exploitative behavior with them,['http://www.latimes.com/business/hollywood/la-fi-ct-james-franco-allegations-20180111-htmlstory.html'],arts-entertainment,,,
stan lee,@TheRealStanLee,9-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January  9, 2018</p>
<p>Multiple nurses have accused Lee of sexually harassing them while they were caring for him, and another woman has alleged that he masturbated in front of her and groped her.</p>
</div>","Publicly reported.        January 9, 2018. Multiple nurses have accused Lee of sexually harassing them while they were caring for him, and another woman has alleged that he masturbated in front of her and groped her.","Multiple nurses have accused Lee of sexually harassing them while they were caring for him, and another woman has alleged that he masturbated in front of her and groped her","['http://www.dailymail.co.uk/news/article-5250513/Marvel-creator-Stan-Lee-95-accused-groping-nurses.html', 'http://www.dailymail.co.uk/news/article-5259559/Stan-Lee-accused-masturbating-masseuse.html']",arts-entertainment,,,
ben vereen,@BenVereen,5-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January  5, 2018</p>
<p>Multiple women have reported that he subjected them to inappropriate comments or unwanted touching, including pressing his genitals against them.</p>
</div>","Publicly reported.        January 5, 2018. Multiple women have reported that he subjected them to inappropriate comments or unwanted touching, including pressing his genitals against them.","Multiple women have reported that he subjected them to inappropriate comments or unwanted touching, including pressing his genitals against them",['http://www.nydailynews.com/entertainment/broadway-big-ben-vereen-accused-sexual-assault-hair-article-1.3738684'],arts-entertainment,,,
paul haggis,@Paul_Haggis,5-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January  5, 2018</p>
<p>Multiple women have reported that he raped or forcibly kissed them. He has resigned as chair of the board for Artists for Peace and Justice, a charity he founded.</p>
</div>","Publicly reported.        January 5, 2018. Multiple women have reported that he raped or forcibly kissed them. He has resigned as chair of the board for Artists for Peace and Justice, a charity he founded.","Multiple women have reported that he raped or forcibly kissed them. He has resigned as chair of the board for Artists for Peace and Justice, a charity he founded","['https://apnews.com/27e0ac12da194d3ca980b155fe9d0b94?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP', 'https://www.usatoday.com/story/life/people/2018/01/10/director-paul-haggis-resigns-charity-he-founded-amid-sexual-misconduct-allegations/1021400001/']",arts-entertainment,,,
albert schultz,,3-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January  3, 2018</p>
<p>Multiple women have reported that he committed sexual battery or sexual harassment against them. He is taking a leave of absence from the Soulpepper Theatre Company.</p>
</div>","Publicly reported.        January 3, 2018. Multiple women have reported that he committed sexual battery or sexual harassment against them. He is taking a leave of absence from the Soulpepper Theatre Company.",Multiple women have reported that he committed sexual battery or sexual harassment against them. He is taking a leave of absence from the Soulpepper Theatre Company,['http://www.cbc.ca/news/entertainment/albert-schultz-soulpepper-sexual-harassment-allegations-1.4470036'],arts-entertainment,,,
dan harmon,,2-Jan-18,"<div class=""info-body"">
<p>Publicly reported
              January  2, 2018</p>
<p>A former employee has reported that he sexually harassed her, and he has admitted to and apologized for the behavior.</p>
</div>","Publicly reported.        January 2, 2018. A former employee has reported that he sexually harassed her, and he has admitted to and apologized for the behavior.","A former employee has reported that he sexually harassed her, and he has admitted to and apologized for the behavior","['https://twitter.com/meganganz/status/948134632037462017', 'https://twitter.com/meganganz/status/951373399929978881', 'https://www.vox.com/culture/2018/1/11/16879702/dan-harmon-apology-megan-ganz-community']",arts-entertainment,,,
dustin marshall,@DustinMartian,21-Dec-17,"<div class=""info-body"">
<p>Publicly reported
              December 21, 2017</p>
<p>A former partner says he abused and harassed her. He is shutting down Feral Audio.</p>
</div>","Publicly reported.        December 21, 2017. A former partner says he abused and harassed her. He is shutting down Feral Audio.",A former partner says he abused and harassed her. He is shutting down Feral Audio,"['https://twitter.com/pottymouthworld/status/943999966304911360/photo/1', 'http://www.vulture.com/2017/12/podcast-network-feral-audio-shutting-down.html', 'https://dustinmarshallsblog.tumblr.com/post/168918337660/being-an-abuser-mental-health-by-dustin-marshall']",arts-entertainment,,,
